SKU,Nome,Specie,Categoria,Specifiche,Prezzo_EUR
"A04-F589-01","Aeonium","Aeonium arboreum","succulenta","",""
"AEON-F589-01","Aeonium var. 'Atropurpureum'","Aeonium arboreum 'Atropurpureum'","succulenta","",""
"AGAP-F858-01","African Queen","Agapanthus 'African Queen'","bulbosa","",""
"A02-F013-02","Agapanto","Agapanthus africanus 'Albus'","bulbosa","",""
"A02-F013-03","Agapanto","Agapanthus africanus","bulbosa","",""
"A04-F673-01","Agave","Agave attenuata","succulenta","",""
"A04-F015-01","Agave","Agave mitis","succulenta","",""
"A04-F712-01","Agave americana","Agave americana","succulenta","",""
"A04-F713-01","Agave americana variegata","Agave americana 'Variegata'","succulenta","",""
"AGAV-F831-01","Agave Applanata","Agave parryi 'Applanata'","succulenta","",""
"AGAV-F863-01","Agave beauleriana","Agave americana 'Franzosinii'","succulenta","",""
"AGAV-F766-01","Agave Blue Glow","Agave 'Blue Glow'","succulenta","",""
"AGAV-F866-01","Agave di carciofo","Agave parryi 'Truncata'","succulenta","",""
"A04-F594-01","Agave ferox","Agave ferox","succulenta","",""
"A04-F595-01","Agave guiengola","Agave guiengola","succulenta","",""
"AGAV-F593-01","Agave Joe Hoak","Agave desmettiana 'Variegata'","succulenta","",""
"AGAV-F812-01","Agave marmorata","Agave marmorata","succulenta","",""
"AGAV-F767-01","Agave mescal","Agave parryi","succulenta","",""
"AGAV-F975-01","Agave parrasana","Agave parrasana","succulenta","",""
"A04-F596-01","Agave potatorum","Agave potatorum","succulenta","",""
"AGAV-F805-01","Agave potatorum 'Verschaffeltii'","Agave potatorum 'Verschaffeltii'","succulenta","",""
"AGAV-F813-01","Agave Titanota Blu","Agave Titanota 'Blue'","succulenta","",""
"A04-F679-01","Agave victoria","Agave victoriae-reginae","succulenta","",""
"BRAC-F802-01","Albero bottiglia","Brachychiton rupestris 'Albero bottiglia'","albero","",""
"A01-F129-01","Albero bottiglia","Chorisia speciosa","albero","",""
"A01-F332-01","Albero dei rosari","Melia Azedarach","albero","",""
